Percival Keene,Percival Keene,"The protagonist and narrator, Percival is the illegitimate son of Captain Delmar. After being raised by his mother and Ben Keene, he joins the Royal Navy as a midshipman aboard Captain Delmar's, the H.M. Calliope. He frequently pulls clever pranks on those around him both during his childhood and in his naval career."
Percival Keene,Captain Delmar,"A captain in the Royal Navy and the father of Percival Keene. Delmar avoids recognizing Percival as his offspring early on, overseeing the boy's career with a detached admiration. Eventually Delmar becomes the heir to the de Versely name and fortune after his brother's death, and after his own death at the end of the novel, names Percival as his heir."
Percival Keene,Bob Cross,"The coxswain aboard the H.M. Calliope, Bob Cross is Percival's closest friend and confidant during his naval career. He accompanies Percival on his trip to Hamburg, where they are captured and nearly executed by French forces."
Percival Keene,Tommy Dott,"Another midshipman on the H.M. Calliope, Tommy Dott frequently conspires with Percival on pranks of other crew members. He is badly wounded during a raid from a French ship."
Percival Keene,Minnie Vanderwilt,"Percival Keene's love interest, she first enters the narrative after she and her father are captured by the black pirates who hold Percival hostage. Percival is able to convince Vincent, the pirate captain, to let the Vanderwilts go unharmed. Minnie's father is a wealthy Dutch merchant. By the end of the novel, Percival proposes to Minnie and will inherit her father's wealth when he marries her."
Percival Keene,Vincent,"The captain of the all-black pirate crew that takes Percival hostage. He explains his background to Percival, which involves being a runaway slave from the United States. He begins to like Percival after the boy dies his skin a darker color."
Percival Keene,Crissobella,"A female, mulatto hotel owner in Curacao who works with Percival to trick other rowdy tenants of the hotel into thinking that they've been poisoned."
The Mysteries of Udolpho,Valancourt,"younger brother of the Count Duvarney, Valancourt forms an attachment to Emily while travelling with her and her father through the Pyrenees. He is a dashing, enthusiastic young man with a noble character, on furlough from the army when he meets her. St. Aubert sees Valancourt as a desirable match for Emily, although he lacks wealth."
The Mysteries of Udolpho,Montoni ,"a prototypical Gothic villain. Brooding, haughty and scheming, he masquerades as an Italian nobleman to gain Madame Cheron's hand in marriage, then imprisons Emily and Madame Cheron in Udolpho in an attempt to take control of Madame Cheron's wealth and estates. He is cold and often cruel to Emily, who believes him to be a captain of banditti."
The Mysteries of Udolpho,Count Morano ,"introduced to Emily by Montoni, who commands that she marry him. Emily refuses, but Morano still pursues her in Venice and later Udolpho. When Montoni finds that Count Morano is not as rich as he hoped, he abruptly withdraws his support from the suit. Morano tries twice to abduct Emily, but both attempts fail."
