Title,Author
The Wolf Leader,Alexandre Dumas
The Rape of the Lock,Alexander Pope
Eugénie Grandet,Honore de Balzac
Emmeline,Charlotte Turner Smith
The Golden Bowl,Henry James
The Mysteries of Udolpho,Ann Radcliffe
Life in the Iron Mills,Rebecca Harding Davis
Book of Genesis,Anonymous
Jerusalem Delivered,Torquato Tasso
A Tangled Tale,Lewis Carroll
Eminent Victorians,Lytton Strachey
The Feast at Solhaug,Henrik Ibsen
Little Eyolf,Henrik Ibsen
Fanny's First Play,George Bernard Shaw
In the Reign of Terror: The Adventures of a Westminster Boy,G. A. Henty
La Fausse Maîtresse,Honore de Balzac
Cripps the Carrier,R. D. (Richard Doddridge) Blackmore
Amelia (novel),Henry Fielding
Adam Bede,George Eliot
Mary Anerley,R. D. Blackmore
Gadsby (novel),Ernest Vincent Wright
Baital Pachisi,"Richard F. Burton, F.R.G.S."
The Half-Hearted,John Buchan
A Strange Manuscript Found in a Copper Cylinder,James De Mille
Box and Cox,John Maddison Morton
The World's Sixteen Crucified Saviors,Kersey Graves
The Little French Lawyer,Francis Beaumont
Storm Over Warlock,Andre Norton
Botchan,Kin-nosuke Natsume
A Martian Odyssey,Stanley Grauman Weinbaum
The Fortunes of Nigel,Sir Walter Scott
The Fall of the House of Usher,Edgar Allan Poe
Aucassin and Nicolette,Anonymous
Tarzan the Untamed,Edgar Rice Burroughs
Agnes Grey,Anne Bronte
The Beautiful and Damned,F. Scott Fitzgerald
Bartholomew Fair (play),Ben Jonson
Under the Greenwood Tree,Thomas Hardy
"Houston, Houston, Do You Read?",Boyd Ellanby
Hunger (Hamsun novel),Knut Hamsun
An Eye for an Eye (novel),Anthony Trollope
"Someone Comes to Town, Someone Leaves Town",Cory Doctorow
Elsie Venner,"Oliver Wendell Holmes, Sr."
Lavender and Old Lace,Myrtle Reed
Sarrasine,Honore de Balzac
The Mystery of the Yellow Room,Gaston Leroux
Salammbô,Gustave Flaubert
The Fixed Period,Anthony Trollope
Phineas Finn,Anthony Trollope
Tom Grogan,F. Hopkinson Smith
Eve's Diary,Mark Twain (Samuel Clemens)
Phantastes,George MacDonald
Home of the Gentry,Ivan Turgenev
The Marrow of Tradition,Charles W. Chesnutt
Her Benny (novel),Silas Kitto Hocking
The Hollow Needle,Maurice Leblanc
The Awakening (Chopin novel),Kate Chopin
A Princess of Mars,Edgar Rice Burroughs
The Gods of Mars,Edgar Rice Burroughs
The Aspern Papers,Henry James
The Mystery of Cloomber,Arthur Conan Doyle
To Have and to Hold,Mary Johnston
The Tangled Skein,"Emmuska Orczy, Baroness Orczy"
Augusta Triumphans,Daniel Defoe
The Princess and Curdie,George MacDonald
Psmith in the City,P. G. Wodehouse
The Faerie Queene,Edmund Spenser
Free Air,Sinclair Lewis
The Europeans,Henry James
The Eustace Diamonds,Anthony Trollope
With Kitchener in the Soudan,G. A. Henty
The Nest of the Sparrowhawk,Baroness Orczy
Doomsday Book (novel),Edgar Lee Masters
The Tale of Samuel Whiskers or The Roly-Poly Pudding,Beatrix Potter
The Assembly of Gods,Anonymous
The Belle's Stratagem,Hannah Cowley
Tom Thumb,Anonymous
Martin Eden,Jack London
The Trail of the Lonesome Pine (novel),"John Fox, Jr."
Doctor Thorne,Anthony Trollope
Moon-Face,Jack London
Emma (novel),Jane Austen
The Professor (novel),(AKA Charlotte Bronte) Currer Bell
The Adventures of Roderick Random,Tobias Smollett
"Epicœne, or The Silent Woman",Ben Jonson
Gambara (short story),Honore de Balzac
Pudd'nhead Wilson,Mark Twain (Samuel Clemens)
The Tunnel under the World,Frederik Pohl
The Philanderer,George Bernard Shaw
The Sea Hawk,Raphael Sabatini
The Prairie,J. Fenimore Cooper
The Man Who Would Be King,Rudyard Kipling
The Sorrows of Young Werther,J.W. von Goethe
Little Brother (Doctorow novel),Cory Doctorow
The Ice-Maiden,Hans Christian Andersen
Lilith (novel),George MacDonald
The Adventure of the Cardboard Box,Arthur Conan Doyle
The Master Key (novel),L. Frank Baum
Memoirs of My Life and Writings,Edward Gibbon
Robinson Crusoe,Daniel Defoe
The Ghost (Harris novel),William. D. O'Connor
Sartor Resartus,Thomas Carlyle
The Yellow Wallpaper,Charlotte Perkins Gilman
The Head of the House of Coombe,Frances Hodgson Burnett
Democracy and Education,John Dewey
Hermann and Dorothea,Johann Wolfgang von Goethe
Confessions of a Young Man,George Moore
An Old-Fashioned Girl,Louisa May Alcott
"Where Love Is, God Is",Lyof N. Tolstoi
Breaking Point (novel),Mary Roberts Rinehart
Amy Foster,Joseph Conrad
Seven Little Australians,Ethel Sybil Turner
Jennie Gerhardt,Theodore Dreiser
The False One,Francis Beaumont and John Fletcher
The Secret Agent,Joseph Conrad
